,Date,Airline Name,Arrival Airport,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
180,11/22,JetBlue Airways,DCA,7260.0,47.0,4820.0,0.0,6123.0,91.3,0.81,91.56,0.0,68.33
181,12/21,Envoy Air,MKE,49.0,0.0,44.0,0.0,61.0,1.02,0.0,1.83,0.0,1.14
182,11/23,Frontier Airlines,PSE,52.0,0.0,47.0,0.0,33.0,2.11,0.0,2.0,0.0,0.89
183,12/21,Alaska Airlines Network,OME,287.0,138.0,383.0,0.0,373.0,4.69,2.76,10.35,0.0,7.21
184,12/21,SkyWest Airlines Inc.,JST,132.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
185,11/21,Alaska Airlines Network,YAK,19.0,27.0,224.0,0.0,293.0,0.95,0.61,5.27,0.0,4.17
186,12/23,SkyWest Airlines Inc.,MSO,1044.0,3530.0,198.0,0.0,10.0,1.99,7.13,2.26,0.0,0.63
187,12/22,PSA Airlines Inc.,LIT,47.0,9.0,70.0,0.0,101.0,1.14,0.56,2.54,0.0,1.76
188,12/23,SkyWest Airlines Inc.,BHM,365.0,70.0,186.0,0.0,641.0,6.49,1.81,6.26,0.0,11.44
189,12/22,JetBlue Airways,ROC,1594.0,0.0,119.0,0.0,1355.0,22.8,0.0,2.3,0.0,14.91
190,12/23,United Air Lines Network,FCA,63.0,1650.0,24.0,0.0,232.0,2.0,3.8,1.0,0.0,1.2
191,11/21,GoJet Airlines LLC d/b/a United Express,PIT,399.0,0.0,85.0,0.0,395.0,5.98,0.0,3.08,0.0,7.93
192,12/21,Envoy Air,EYW,149.0,35.0,852.0,0.0,269.0,5.75,0.7,22.03,0.0,6.52
193,12/21,American Airlines Network,SRQ,529.0,0.0,464.0,0.0,615.0,10.46,0.0,11.45,0.0,9.09
194,12/22,Piedmont Airlines,CAE,162.0,0.0,66.0,0.0,164.0,5.15,0.0,1.09,0.0,1.76
195,11/22,Envoy Air,MGM,227.0,141.0,175.0,0.0,233.0,2.25,1.11,2.67,0.0,3.97
196,12/22,Delta Air Lines Network,SFO,10185.0,1507.0,3394.0,0.0,2135.0,92.11,10.81,91.03,0.0,35.05
197,12/23,Frontier Airlines,LIT,17.0,0.0,39.0,0.0,18.0,0.49,0.0,1.0,0.0,0.51
198,11/23,Frontier Airlines,TYS,91.0,0.0,20.0,0.0,33.0,0.63,0.0,0.14,0.0,0.23
199,12/23,Air Wisconsin Airlines Corp,ALO,112.0,295.0,118.0,0.0,132.0,2.7,1.66,3.75,0.0,0.89
