,Date,Airline Name,Arrival Airport,airport_name,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
89,11/2023,Envoy Air,LEX,"Lexington, KY: Blue Grass",22.0,0.0,13.0,0.0,0.0,1.35,0.0,0.65,0.0,0.0
90,11/2022,Frontier Airlines,ORD,"Chicago, IL: Chicago O'Hare International",165.0,120.0,0.0,0.0,41.0,2.0,1.0,0.0,0.0,1.0
91,12/2022,SkyWest Airlines Inc.,LAS,"Las Vegas, NV: Harry Reid International",66.0,300.0,76.0,0.0,407.0,2.0,2.0,2.0,0.0,6.0
92,12/2021,Spirit Airlines,ORD,"Chicago, IL: Chicago O'Hare International",2735.0,91.0,2068.0,28.0,2286.0,45.7,2.53,45.98,0.78,36.01
93,12/2022,Envoy Air,SAV,"Savannah, GA: Savannah/Hilton Head International",129.0,0.0,12.0,0.0,376.0,1.69,0.0,0.42,0.0,2.9
94,11/2023,United Air Lines Network,SBP,"San Luis Obispo, CA: San Luis County Regional",92.0,0.0,15.0,0.0,267.0,1.67,0.0,0.49,0.0,5.85
95,11/2023,American Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",1901.0,81.0,800.0,72.0,1929.0,23.37,0.83,26.96,2.0,28.84
96,12/2022,United Air Lines Network,SLC,"Salt Lake City, UT: Salt Lake City International",2088.0,38.0,171.0,0.0,1963.0,32.14,1.0,5.38,0.0,21.49
97,11/2023,GoJet Airlines LLC d/b/a United Express,BTV,"Burlington, VT: Burlington International",97.0,0.0,17.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
98,12/2021,Delta Air Lines Network,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",2278.0,39.0,1700.0,33.0,1175.0,37.24,1.27,34.07,1.0,22.43
99,11/2021,American Airlines Network,MSP,"Minneapolis, MN: Minneapolis-St Paul International",3731.0,20.0,284.0,93.0,1765.0,52.44,0.26,10.68,1.25,27.37
100,12/2023,Frontier Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5733.0,31.0,3171.0,0.0,8756.0,68.22,0.42,80.01,0.0,117.35
101,11/2021,Frontier Airlines,SFO,"San Francisco, CA: San Francisco International",454.0,0.0,194.0,0.0,428.0,7.54,0.0,4.15,0.0,8.31
102,11/2022,American Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",6047.0,483.0,5490.0,74.0,12927.0,95.85,2.9,147.81,2.32,124.11
103,12/2023,Spirit Airlines,RNO,"Reno, NV: Reno/Tahoe International",116.0,0.0,237.0,37.0,172.0,2.31,0.0,3.96,1.0,2.72
104,12/2023,SkyWest Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
105,12/2022,Allegiant Air,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",379.0,98.0,483.0,0.0,778.0,6.24,2.43,7.86,0.0,9.47
106,12/2022,Delta Air Lines Network,STT,"Charlotte Amalie, VI: Cyril E King",612.0,124.0,128.0,0.0,55.0,8.8,2.0,4.6,0.0,1.6
107,11/2021,Mesa Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",326.0,0.0,16.0,0.0,110.0,5.0,0.0,1.0,0.0,1.0
108,11/2021,"Commutair Aka Champlain Enterprises, Inc.",LNK,"Lincoln, NE: Lincoln Airport",399.0,0.0,68.0,0.0,873.0,6.19,0.0,1.73,0.0,6.09
109,12/2023,GoJet Airlines LLC d/b/a United Express,ALB,"Albany, NY: Albany International",16.0,0.0,0.0,0.0,69.0,0.19,0.0,0.0,0.0,0.81
110,12/2023,American Airlines Network,TYS,"Knoxville, TN: McGhee Tyson",270.0,0.0,79.0,0.0,62.0,4.61,0.0,2.62,0.0,2.77
111,11/2021,SkyWest Airlines Inc.,ATY,"Watertown, SD: Watertown Regional",1049.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
112,12/2022,PSA Airlines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",232.0,32.0,474.0,0.0,299.0,3.49,0.49,13.55,0.0,5.47
113,12/2021,Envoy Air,SBP,"San Luis Obispo, CA: San Luis County Regional",104.0,47.0,147.0,0.0,214.0,3.03,1.73,6.66,0.0,2.58
114,11/2021,JetBlue Airways,MCO,"Orlando, FL: Orlando International",9930.0,110.0,2288.0,84.0,5380.0,154.2,0.95,66.93,3.48,71.45
115,11/2022,GoJet Airlines LLC d/b/a United Express,FAR,"Fargo, ND: Hector International",215.0,0.0,134.0,0.0,69.0,2.13,0.0,4.48,0.0,0.39
116,11/2022,Horizon Air,PSP,"Palm Springs, CA: Palm Springs International",24.0,0.0,3.0,0.0,44.0,0.92,0.0,0.12,0.0,0.96
117,12/2022,Endeavor Air Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",341.0,0.0,100.0,0.0,127.0,2.91,0.0,3.58,0.0,3.51
118,12/2023,Republic Airline,IND,"Indianapolis, IN: Indianapolis International",1910.0,31.0,625.0,70.0,1704.0,21.76,1.0,18.28,1.0,17.97
119,12/2021,Piedmont Airlines,PWM,"Portland, ME: Portland International Jetport",0.0,176.0,87.0,32.0,7.0,0.0,0.93,2.87,1.0,0.2
120,12/2022,Allegiant Air,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",89.0,17.0,332.0,0.0,286.0,2.47,0.74,7.32,0.0,5.47
121,11/2021,Endeavor Air Inc.,MBS,"Saginaw/Bay City/Midland, MI: MBS International",127.0,0.0,154.0,0.0,180.0,5.03,0.0,5.42,0.0,1.55
122,12/2021,American Airlines Network,PVD,"Providence, RI: Theodore Francis Green State",135.0,0.0,36.0,0.0,202.0,3.05,0.0,1.35,0.0,2.61
123,12/2021,Allegiant Air,CLE,"Cleveland, OH: Cleveland-Hopkins International",18.0,0.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
124,11/2022,Southwest Airlines,TUS,"Tucson, AZ: Tucson International",937.0,0.0,197.0,0.0,1279.0,25.36,0.0,5.8,0.0,29.84
125,11/2022,Delta Air Lines Network,MDT,"Harrisburg, PA: Harrisburg International",54.0,0.0,17.0,0.0,25.0,2.0,0.0,1.0,0.0,1.0
126,12/2022,Envoy Air,BOI,"Boise, ID: Boise Air Terminal",21.0,0.0,18.0,0.0,73.0,1.04,0.0,0.69,0.0,2.27
127,12/2022,Envoy Air,EYW,"Key West, FL: Key West International",54.0,287.0,556.0,0.0,307.0,2.12,3.38,13.32,0.0,7.18
128,11/2021,Allegiant Air,PVD,"Providence, RI: Theodore Francis Green State",54.0,0.0,10.0,0.0,155.0,1.21,0.0,0.44,0.0,2.34
129,11/2023,Allegiant Air,IAG,"Niagara Falls, NY: Niagara Falls International",0.0,0.0,85.0,0.0,15.0,0.0,0.0,1.0,0.0,1.0
130,11/2022,American Airlines Network,DSM,"Des Moines, IA: Des Moines International",285.0,277.0,87.0,0.0,671.0,5.2,0.94,2.08,0.0,7.78
131,12/2022,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",43749.0,1549.0,21198.0,130.0,58853.0,531.82,10.82,449.14,2.1,611.12
132,12/2023,SkyWest Airlines Inc.,MLI,"Moline, IL: Quad Cities International",297.0,1048.0,336.0,0.0,96.0,6.04,4.98,7.97,0.0,3.0
133,11/2023,Delta Air Lines Network,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",144.0,0.0,13.0,0.0,0.0,1.59,0.0,0.41,0.0,0.0
134,12/2023,American Airlines Network,STL,"St. Louis, MO: St Louis Lambert International",1794.0,42.0,846.0,17.0,3826.0,31.29,0.35,27.46,1.0,54.89
135,12/2022,Republic Airline,GSO,"Greensboro/High Point, NC: Piedmont Triad International",354.0,0.0,155.0,0.0,986.0,10.37,0.0,5.9,0.0,17.73
