,Date,Airline Name,Arrival Airport,airport_name,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
172,11/2022,Frontier Airlines,OKC,"Oklahoma City, OK: Will Rogers World",159.0,0.0,69.0,0.0,837.0,2.74,0.0,0.81,0.0,5.44
173,12/2021,American Airlines Network,DTW,"Detroit, MI: Detroit Metro Wayne County",1402.0,0.0,132.0,48.0,919.0,30.97,0.0,5.44,0.81,17.78
174,12/2022,Alaska Airlines Network,MIA,"Miami, FL: Miami International",175.0,0.0,187.0,0.0,156.0,4.19,0.0,4.81,0.0,1.0
175,11/2023,Frontier Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",1048.0,14.0,486.0,0.0,1304.0,14.3,0.58,7.65,0.0,21.47
176,11/2023,American Airlines Network,FSD,"Sioux Falls, SD: Joe Foss Field",244.0,0.0,48.0,0.0,384.0,4.23,0.0,1.06,0.0,4.71
177,11/2021,American Airlines Network,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",898.0,120.0,141.0,0.0,1016.0,18.2,1.0,6.75,0.0,18.05
178,11/2023,SkyWest Airlines Inc.,BJI,"Bemidji, MN: Bemidji Regional",49.0,109.0,113.0,0.0,0.0,1.48,1.63,2.88,0.0,0.0
179,11/2021,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12682.0,822.0,2734.0,17.0,19891.0,106.98,6.22,69.3,1.0,192.51
180,11/2021,Allegiant Air,SYR,"Syracuse, NY: Syracuse Hancock International",199.0,12.0,605.0,0.0,88.0,3.99,0.22,8.97,0.0,1.83
181,11/2021,Frontier Airlines,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",8.0,0.0,11.0,0.0,27.0,0.31,0.0,0.42,0.0,1.27
182,11/2021,United Air Lines Network,OMA,"Omaha, NE: Eppley Airfield",465.0,0.0,35.0,0.0,347.0,7.61,0.0,0.83,0.0,4.56
183,12/2021,Alaska Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",1001.0,177.0,405.0,0.0,648.0,11.65,2.24,9.66,0.0,10.45
184,11/2023,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",924.0,53.0,444.0,0.0,3287.0,19.2,0.38,12.01,0.0,16.41
185,11/2022,GoJet Airlines LLC d/b/a United Express,SYR,"Syracuse, NY: Syracuse Hancock International",19.0,0.0,80.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
186,11/2023,Envoy Air,IAD,"Washington, DC: Washington Dulles International",25.0,10.0,0.0,0.0,100.0,0.65,0.11,0.0,0.0,2.23
187,11/2023,American Airlines Network,ALB,"Albany, NY: Albany International",405.0,61.0,148.0,39.0,1417.0,11.93,0.91,5.53,0.93,5.7
188,11/2023,Allegiant Air,MDW,"Chicago, IL: Chicago Midway International",54.0,0.0,28.0,0.0,18.0,1.07,0.0,1.24,0.0,0.69
189,11/2022,United Air Lines Network,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",91.0,0.0,136.0,0.0,157.0,2.07,0.0,2.92,0.0,3.0
190,11/2021,Mesa Airlines Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,11/2023,SkyWest Airlines Inc.,BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",47.0,49.0,1857.0,0.0,0.0,0.89,1.0,3.11,0.0,0.0
192,12/2022,American Airlines Network,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",61.0,0.0,8.0,0.0,650.0,0.25,0.0,0.1,0.0,4.65
193,12/2021,"Commutair Aka Champlain Enterprises, Inc.",ORF,"Norfolk, VA: Norfolk International",80.0,0.0,30.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
194,12/2022,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",141.0,50.0,77.0,57.0,163.0,5.12,0.57,1.0,1.0,2.31
195,12/2023,Endeavor Air Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",230.0,0.0,3.0,0.0,134.0,2.91,0.0,0.13,0.0,1.97
196,12/2021,Air Wisconsin Airlines Corp,CMH,"Columbus, OH: John Glenn Columbus International",184.0,0.0,118.0,0.0,589.0,4.75,0.0,3.91,0.0,6.33
197,11/2022,Envoy Air,MCI,"Kansas City, MO: Kansas City International",362.0,99.0,55.0,0.0,647.0,6.42,1.55,0.83,0.0,7.2
198,11/2022,Horizon Air,BIL,"Billings, MT: Billings Logan International",183.0,116.0,157.0,0.0,45.0,5.01,2.99,5.54,0.0,0.45
199,12/2022,Alaska Airlines Network,DEN,"Denver, CO: Denver International",515.0,346.0,1295.0,0.0,881.0,10.54,7.4,26.72,0.0,19.34
