,Year,Month,Airline Name,Arrival Airport,airport_name,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
122,2023,11,United Air Lines Network,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1277.0,0.0,540.0,0.0,1363.0,33.34,0.0,23.42,0.0,24.24
123,2022,12,SkyWest Airlines Inc.,EKO,"Elko, NV: Elko Regional",108.0,44.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
124,2021,11,JetBlue Airways,BUF,"Buffalo, NY: Buffalo Niagara International",1546.0,0.0,173.0,0.0,702.0,28.72,0.0,7.23,0.0,9.05
125,2022,11,PSA Airlines Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",2.0,0.0,34.0,0.0,18.0,0.08,0.0,1.17,0.0,0.75
126,2021,12,Allegiant Air,GRI,"Grand Island, NE: Central Nebraska Regional",138.0,0.0,46.0,0.0,192.0,3.29,0.0,1.02,0.0,3.69
127,2022,11,SkyWest Airlines Inc.,ELP,"El Paso, TX: El Paso International",975.0,104.0,0.0,0.0,235.0,17.0,1.0,0.0,0.0,4.0
128,2023,11,Air Wisconsin Airlines Corp,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",25.0,12.0,33.0,0.0,116.0,1.09,0.27,0.73,0.0,1.91
129,2021,12,SkyWest Airlines Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",864.0,25.0,0.0,0.0,1236.0,15.0,1.0,0.0,0.0,14.0
130,2021,12,Southwest Airlines,TUS,"Tucson, AZ: Tucson International",1220.0,111.0,285.0,25.0,2268.0,32.65,1.0,6.54,1.0,39.8
131,2022,11,JetBlue Airways,PHL,"Philadelphia, PA: Philadelphia International",255.0,0.0,123.0,0.0,130.0,6.76,0.0,2.94,0.0,1.29
132,2021,11,Envoy Air,CRP,"Corpus Christi, TX: Corpus Christi International",150.0,11.0,59.0,0.0,173.0,4.74,0.32,2.21,0.0,3.73
133,2021,12,GoJet Airlines LLC d/b/a United Express,PWM,"Portland, ME: Portland International Jetport",482.0,0.0,114.0,0.0,334.0,7.2,0.0,3.65,0.0,4.15
134,2021,11,Envoy Air,FAR,"Fargo, ND: Hector International",18.0,0.0,66.0,0.0,0.0,0.78,0.0,2.22,0.0,0.0
135,2023,12,SkyWest Airlines Inc.,TVC,"Traverse City, MI: Cherry Capital",312.0,29.0,69.0,0.0,169.0,4.47,1.0,1.28,0.0,2.24
136,2023,11,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",894.0,0.0,169.0,0.0,408.0,10.64,0.0,5.32,0.0,4.04
137,2021,12,Frontier Airlines,ONT,"Ontario, CA: Ontario International",1361.0,0.0,617.0,0.0,1288.0,19.11,0.0,13.47,0.0,15.43
138,2022,11,Spirit Airlines,EWR,"Newark, NJ: Newark Liberty International",3088.0,75.0,7253.0,148.0,2206.0,62.7,2.45,129.23,5.8,27.81
139,2022,11,Alaska Airlines Network,TUS,"Tucson, AZ: Tucson International",3.0,0.0,66.0,0.0,68.0,0.09,0.0,2.15,0.0,2.76
140,2023,11,Allegiant Air,TOL,"Toledo, OH: Eugene F Kranz Toledo Express",3.0,141.0,43.0,0.0,141.0,0.13,1.57,0.97,0.0,1.32
141,2023,12,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",292.0,0.0,152.0,0.0,240.0,4.96,0.0,2.89,0.0,4.15
142,2021,12,Spirit Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",1086.0,0.0,361.0,0.0,486.0,16.59,0.0,7.25,0.0,8.17
143,2021,11,Allegiant Air,MRY,"Monterey, CA: Monterey Regional",30.0,0.0,0.0,0.0,4.0,1.78,0.0,0.0,0.0,0.22
144,2023,12,Envoy Air,MCI,"Kansas City, MO: Kansas City International",37.0,33.0,113.0,0.0,138.0,1.87,0.73,3.42,0.0,1.99
145,2022,12,United Air Lines Network,MDT,"Harrisburg, PA: Harrisburg International",423.0,8.0,20.0,0.0,193.0,5.7,0.2,0.76,0.0,5.34
146,2021,11,Envoy Air,CMI,"Champaign/Urbana, IL: University of Illinois/Willard",226.0,56.0,131.0,0.0,17.0,4.73,1.26,5.0,0.0,1.0
147,2023,12,Allegiant Air,AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",2668.0,765.0,481.0,16.0,2700.0,15.2,8.61,12.25,0.7,26.25
148,2023,12,Allegiant Air,PDX,"Portland, OR: Portland International",37.0,0.0,49.0,0.0,3.0,0.99,0.0,1.82,0.0,0.19
149,2021,12,PSA Airlines Inc.,ILM,"Wilmington, NC: Wilmington International",435.0,28.0,146.0,0.0,1066.0,9.05,1.0,5.81,0.0,16.15
150,2021,11,American Airlines Network,PVD,"Providence, RI: Theodore Francis Green State",280.0,0.0,70.0,0.0,91.0,7.13,0.0,3.85,0.0,2.02
151,2022,12,Republic Airline,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",409.0,5.0,224.0,0.0,174.0,6.26,0.16,6.27,0.0,4.31
152,2022,12,Delta Air Lines Network,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",1399.0,149.0,317.0,0.0,262.0,11.62,2.23,5.71,0.0,4.44
153,2023,12,American Airlines Network,STT,"Charlotte Amalie, VI: Cyril E King",571.0,15.0,644.0,0.0,410.0,9.14,0.31,17.72,0.0,5.83
154,2023,12,Allegiant Air,GRI,"Grand Island, NE: Central Nebraska Regional",45.0,357.0,2.0,0.0,0.0,1.91,1.0,0.09,0.0,0.0
155,2021,11,Republic Airline,AUS,"Austin, TX: Austin - Bergstrom International",164.0,0.0,16.0,0.0,49.0,3.75,0.0,1.0,0.0,1.25
156,2021,11,Delta Air Lines Network,SAT,"San Antonio, TX: San Antonio International",922.0,785.0,461.0,0.0,224.0,17.87,1.76,16.59,0.0,5.77
157,2023,12,SkyWest Airlines Inc.,LBB,"Lubbock, TX: Lubbock Preston Smith International",1130.0,0.0,51.0,0.0,52.0,4.47,0.0,1.53,0.0,1.0
158,2023,11,American Airlines Network,GEG,"Spokane, WA: Spokane International",595.0,0.0,215.0,0.0,418.0,14.35,0.0,6.93,0.0,8.72
159,2023,11,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,2021,11,PSA Airlines Inc.,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",109.0,0.0,187.0,0.0,629.0,2.5,0.0,7.3,0.0,5.19
