,Year,Month,Airline Name,Arrival Airport,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
78,2023,11,SkyWest Airlines Inc.,FAT,710.0,84.0,700.0,0.0,1038.0,15.41,2.05,17.11,0.0,17.42
79,2021,11,American Airlines Network,RNO,655.0,0.0,0.0,0.0,1046.0,11.66,0.0,0.0,0.0,10.34
80,2023,11,Air Wisconsin Airlines Corp,BHM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2022,11,Delta Air Lines Network,LGA,12788.0,837.0,10107.0,149.0,6565.0,128.62,8.6,199.89,2.0,105.89
82,2022,12,Allegiant Air,SCK,346.0,238.0,96.0,0.0,628.0,5.57,2.75,1.89,0.0,11.78
83,2023,11,Horizon Air,ICT,148.0,53.0,64.0,0.0,0.0,2.83,0.78,1.39,0.0,0.0
84,2022,11,American Airlines Network,BUF,580.0,5.0,77.0,0.0,1041.0,9.68,0.11,2.96,0.0,13.25
85,2022,12,Delta Air Lines Network,LIT,872.0,0.0,62.0,0.0,296.0,15.26,0.0,1.06,0.0,6.68
86,2021,11,Republic Airline,DTW,671.0,172.0,573.0,0.0,951.0,13.15,2.23,15.32,0.0,13.31
87,2021,11,American Airlines Network,EYW,1293.0,0.0,712.0,0.0,843.0,17.76,0.0,22.38,0.0,7.86
88,2022,12,Hawaiian Airlines Network,OGG,15906.0,2665.0,517.0,17.0,13022.0,238.47,24.92,12.24,0.62,160.75
89,2022,11,Envoy Air,FAY,71.0,33.0,35.0,0.0,339.0,1.0,0.15,1.09,0.0,2.77
90,2021,12,Delta Air Lines Network,CLT,3574.0,415.0,551.0,0.0,797.0,51.37,3.7,17.48,0.0,15.45
91,2021,11,JetBlue Airways,BQN,225.0,0.0,163.0,82.0,93.0,6.64,0.0,3.46,1.41,1.48
92,2023,12,Delta Air Lines Network,PWM,14.0,0.0,13.0,0.0,16.0,0.33,0.0,0.3,0.0,0.37
93,2021,12,Envoy Air,RST,6.0,0.0,0.0,0.0,186.0,0.08,0.0,0.0,0.0,2.92
94,2021,11,Envoy Air,PHX,627.0,0.0,76.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
95,2021,12,Air Wisconsin Airlines Corp,GSP,260.0,0.0,47.0,0.0,459.0,5.76,0.0,1.35,0.0,2.88
96,2022,11,United Air Lines Network,SFO,14928.0,427.0,2590.0,0.0,11766.0,152.91,8.46,71.61,0.0,147.02
97,2022,12,GoJet Airlines LLC d/b/a United Express,LIT,209.0,52.0,212.0,0.0,39.0,3.23,0.73,4.31,0.0,0.72
98,2021,12,Alaska Airlines Network,SIT,330.0,61.0,295.0,0.0,1091.0,5.56,1.62,8.47,0.0,22.35
99,2022,11,Envoy Air,AMA,132.0,0.0,5.0,0.0,323.0,2.52,0.0,0.11,0.0,5.37
100,2022,12,Hawaiian Airlines Network,LAX,3097.0,412.0,26.0,0.0,917.0,39.53,2.46,0.31,0.0,13.7
101,2021,12,Southwest Airlines,TUL,1878.0,78.0,73.0,19.0,2440.0,43.21,1.0,2.26,1.0,49.53
102,2023,11,CommuteAir LLC dba CommuteAir,PVD,,,,,,,,,,
103,2023,11,Delta Air Lines Network,SYR,344.0,0.0,154.0,0.0,174.0,8.0,0.0,4.05,0.0,3.94
104,2022,11,Republic Airline,ROA,165.0,0.0,25.0,0.0,195.0,1.34,0.0,1.39,0.0,3.27
105,2021,12,SkyWest Airlines Inc.,LSE,712.0,488.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0
106,2022,11,Hawaiian Airlines Network,PPG,19.0,0.0,0.0,0.0,31.0,1.09,0.0,0.0,0.0,0.91
